"cokey"	"ave_no3_leach"	"ave_nh3_vol"	"bulk_dens"	"ph"	"wthirdbar"	"wfifteenbar"	"awc"	"clay_frac"	"sand_frac"	"ksat"	"om"
"11622525"	"151.46"	"2.77"	"1.43"	"6.50"	"27.70"	"12.90"	"0.19"	"15.00"	"44.00"	"9.00"	"3.50"
"11622527"	"141.40"	"2.71"	"1.43"	"6.50"	"27.70"	"12.90"	"0.19"	"15.00"	"44.00"	"9.00"	"2.50"
"11622529"	"135.92"	"1.83"	"1.53"	"5.80"	"18.70"	"9.80"	"0.13"	"12.00"	"65.00"	"28.00"	"2.00"
"11622575"	"138.31"	"3.19"	"1.43"	"6.50"	"29.80"	"15.30"	"0.21"	"19.00"	"44.00"	"9.00"	"3.50"
"11622578"	"135.26"	"3.25"	"1.43"	"6.50"	"29.80"	"15.30"	"0.21"	"19.00"	"44.00"	"9.00"	"3.50"
"11622581"	"133.67"	"3.33"	"1.43"	"6.50"	"29.80"	"15.30"	"0.21"	"19.00"	"44.00"	"9.00"	"3.50"
"11622596"	"136.68"	"2.10"	"1.38"	"6.20"	"30.90"	"17.40"	"0.21"	"22.00"	"30.00"	"9.00"	"4.50"
"11622666"	"135.13"	"1.96"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
"11622666"	"135.36"	"2.15"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
"11622666"	"136.30"	"1.72"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
"11622666"	"136.90"	"2.18"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
"11622666"	"175.71"	"2.48"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
"11622668"	"136.28"	"2.12"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"11622669"	"139.04"	"2.16"	"1.53"	"6.20"	"15.30"	"6.10"	"0.11"	"6.00"	"84.00"	"92.00"	"1.50"
"11623065"	"153.25"	"2.91"	"1.35"	"6.10"	"19.20"	"9.70"	"0.14"	"12.00"	"68.30"	"28.00"	"2.00"
"11623066"	"154.48"	"2.98"	"1.35"	"6.10"	"19.20"	"9.70"	"0.14"	"12.00"	"68.30"	"28.00"	"2.00"
"11623067"	"158.36"	"3.58"	"1.35"	"6.10"	"18.70"	"9.10"	"0.14"	"12.00"	"68.30"	"28.00"	"1.50"
"11623068"	"147.25"	"4.20"	"1.30"	"6.50"	"16.50"	"7.40"	"0.16"	"10.00"	"66.90"	"28.00"	"2.00"
"11623072"	"163.91"	"5.05"	"1.30"	"6.50"	"16.50"	"7.40"	"0.16"	"10.00"	"66.90"	"28.00"	"2.00"
"11623078"	"139.09"	"18.14"	"1.40"	"7.30"	"13.70"	"6.10"	"0.11"	"10.00"	"66.60"	"28.00"	"1.50"
"11623079"	"141.50"	"20.67"	"1.40"	"7.30"	"13.70"	"6.10"	"0.11"	"10.00"	"66.60"	"28.00"	"1.50"
"11623080"	"133.39"	"17.98"	"1.23"	"7.20"	"37.50"	"28.90"	"0.24"	"25.00"	"24.00"	"9.00"	"15.00"
"11623080"	"133.89"	"18.34"	"1.23"	"7.20"	"37.50"	"28.90"	"0.24"	"25.00"	"24.00"	"9.00"	"15.00"
"11623080"	"163.34"	"18.09"	"1.23"	"7.20"	"37.50"	"28.90"	"0.24"	"25.00"	"24.00"	"9.00"	"15.00"
"11623099"	"148.31"	"4.13"	"1.50"	"6.50"	"32.10"	"19.10"	"0.20"	"22.00"	"41.10"	"9.00"	"4.50"
"11623110"	"148.74"	"4.22"	"1.43"	"6.70"	"29.00"	"14.30"	"0.18"	"16.00"	"65.10"	"9.00"	"4.00"
"11623148"	"136.20"	"2.84"	"1.53"	"6.50"	"21.10"	"12.20"	"0.11"	"14.00"	"66.80"	"28.00"	"2.50"
"11623207"	"152.69"	"2.36"	"1.30"	"5.90"	"20.10"	"11.50"	"0.13"	"17.00"	"57.00"	"28.23"	"2.50"
"11623253"	"145.30"	"2.72"	"1.38"	"6.20"	"35.20"	"24.70"	"0.23"	"25.00"	"18.00"	"9.17"	"9.00"
